Family,LatitudePaper,LatitudePaperNS,LongitudePaper,LongitudePaperWE,latitude,longitude,Glottocode
Afro-Asiatic,8.67,N,8.08,E,8.67,8.08,afro1255
Algic,42.67,N,73.50,W,42.67,-73.50,algi1248
Altaic,56.00,N,125.00,E,56.00,125.00,NA
Arauan,6.00,S,70.50,W,-6.00,-70.50,araw1282
Arawakan,1.00,N,69.17,W,1.00,-69.17,araw1281
Australian,12.67,S,136.75,E,-12.67,136.75,NA
Austro-Asiatic,14.83,N,100.50,E,14.83,100.50,aust1305
Bosavi,6.17,S,142.50,E,-6.17,142.50,bosa1245
Caddoan,33.33,N,93.50,W,33.33,-93.50,cadd1255
Cariban,0.50,S,60.50,W,-0.50,-60.50,cari1283
Chibchan,9.75,N,83.42,W,9.75,-83.42,chib1249
Choco,6.83,N,77.17,W,6.83,-77.17,choc1280
Chukotko-Kamchatkan,61.00,N,165.00,E,61.00,165.00,chuk1271
East Bird’s Head,1.50,S,134.00,E,-1.50,134.00,NA
East Bougainville,6.62,S,155.42,E,-6.62,155.42,NA
East Strickland,6.17,S,142.17,E,-6.17,142.17,east2433
Eleman,8.00,S,145.83,E,-8.00,145.83,nucl1580
Eskimo-Aleut,63.69,N,170.48,W,63.69,-170.48,eski1264
Gogodala-Suki,8.08,S,142.83,E,-8.08,142.83,suki1244
Great Andamanese,12.00,N,92.67,E,12.00,92.67,grea1241
Guahiban,6.50,N,71.33,W,6.50,-71.33,guah1252
Guaicuruan,26.50,S,59.00,W,-26.50,-59.00,guai1249
Hmong-Mien,27.00,N,105.00,E,27.00,105.00,hmon1336
Hokan,39.00,N,122.50,W,39.00,-122.50,NA
Huitotoan,2.17,S,72.33,W,-2.17,-72.33,huit1251
Indo-European,34.00,N,71.55,E,34.00,71.55,indo1319
Inland Gulf,7.58,S,144.00,E,-7.58,144.00,inla1262
Iroquoian,42.75,N,76.17,W,42.75,-76.17,iroq1247
Japanese,37.00,N,140.00,E,37.00,140.00,nucl1643
Jivaroan,4.00,S,78.00,W,-4.00,-78.00,jiva1245
Kadugli,11.42,N,29.17,E,11.42,29.17,kadu1256
Kartvelian,43.00,N,42.50,E,43.00,42.50,kart1248
Kayagar,6.33,S,138.67,E,-6.33,138.67,kaya1327
Khoisan,21.68,S,22.17,E,-21.68,22.17,NA
Kiwaian,8.00,S,143.50,E,-8.00,143.50,kiwa1251
Kolopom,8.00,S,138.50,E,-8.00,138.50,kolo1268
Kwalean,9.67,S,147.44,E,-9.67,147.44,kwal1257
Kwerba,2.25,S,138.08,E,-2.25,138.08,kwer1262
Kwomtari-Fas,3.42,S,141.33,E,-3.42,141.33,NA
Lakes Plain,2.83,S,137.00,E,-2.83,137.00,lake1255
Left May,4.25,S,141.75,E,-4.25,141.75,left1242
Leonhard Schultze,4.50,S,142.00,E,-4.50,142.00,NA
Lower Sepik-Ramu,4.25,S,144.75,E,-4.25,144.75,lowe1437
Marind,7.00,S,141.33,E,-7.00,141.33,nucl1621
Matacoan,22.50,S,62.50,W,-22.50,-62.50,mata1289
Mayan,15.42,N,91.83,W,15.42,-91.83,maya1287
Mixe-Zoque,17.22,N,96.03,W,17.22,-96.03,mixe1284
Morehead and Upper Maro Rivers,9.00,S,142.58,E,-9.00,142.58,more1255
Muskogean,34.00,N,85.00,W,34.00,-85.00,musk1252
Na-Dene,53.75,N,123.50,W,53.75,-123.50,atha1245
Nakh-Daghestanian,42.50,N,46.50,E,42.50,46.50,nakh1245
Nambikuaran,12.75,S,59.17,W,-12.75,-59.17,namb1299
Niger-Congo,8.75,N,8.25,E,8.75,8.25,NA
Nilo-Saharan,4.75,N,29.75,E,4.75,29.75,NA
Northwest Caucasian,44.00,N,42.00,E,44.00,42.00,abkh1242
Oregon Coast,44.00,N,124.00,W,44.00,-124.00,oreg1242
Oto-Manguean,17.67,N,97.42,W,17.67,-97.42,otom1299
Panoan,7.50,S,75.00,W,-7.50,-75.00,pano1256
Pauwasi,3.58,S,140.83,E,-3.58,140.83,pauw1244
Penutian,39.50,N,121.50,W,39.50,-121.50,NA
Quechuan,0.33,N,78.00,W,0.33,-78.00,quec1387
Salishan,48.75,N,123.25,W,48.75,-123.25,sali1255
Sentani,2.45,S,140.42,E,-2.45,140.42,sent1261
Sino-Tibetan,26.10,N,94.75,E,26.10,94.75,sino1245
Siouan,35.50,N,80.50,W,35.50,-80.50,siou1252
Sko,2.58,S,141.17,E,-2.58,141.17,skoo1245
Tacanan,12.33,S,67.75,W,-12.33,-67.75,taca1255
Tai-Kadai,24.00,N,108.00,E,24.00,108.00,taik1256
Teberan-Pawaian,7.00,S,144.50,E,-7.00,144.50,tebe1251
Torricelli,3.83,S,143.83,E,-3.83,143.83,nucl1708
Totonacan,19.92,N,97.42,W,19.92,-97.42,toto1251
Trans-New Guinea,8.33,S,124.25,E,-8.33,124.25,nucl1709
Tupian,8.00,S,62.00,W,-8.00,-62.00,tupi1275
Turama-Kikorian,7.08,S,143.58,E,-7.08,143.58,tura1263
Uralic,68.00,N,30.00,E,68.00,30.00,ural1272
Uto-Aztecan,27.50,N,110.25,W,27.50,-110.25,utoa1244
Vaupés-Japurá,0.00,N,69.00,W,0.00,-69.00,nada1235
Wakashan,48.67,N,124.75,W,48.67,-124.75,waka1280
West Bomberai,2.92,S,132.25,E,-2.92,132.25,west2604
West Papuan,0.50,N,127.58,E,0.50,127.58,NA
Western Fly,8.75,S,143.08,E,-8.75,143.08,NA
Yeniseian,57.00,N,93.00,E,57.00,93.00,yeni1252
